servering..i.kg.,antal.ätande.på.plats,kategori,tallrikssvinn.gäst.dag,enhet,tallrik..i.kg.,serveringssvinn.gäst.dag,kökssvinn.gäst.dag,dagar,antal.port.inkl..utskick,kök..i.kg.,date,code
98,215,grundskola,24.86,Majtorp,96,25.38,5.7,18,215,22,2019-10-01T12:00:00Z,Majt
25,287,gymnasium,8.8,Moraberg,48,4.58,4.4,19,287,24,2019-10-01T12:00:00Z,Mora
65,156,grundskola,64.02,Mölnbo,190,21.9,5.22,19,242,24,2019-10-01T12:00:00Z,Möln
,352,grundskola,NULL,Oxbacken,,NULL,NULL,,352,,2019-10-01T12:00:00Z,Oxba
163,550,grundskola,14.94,Pershagen,189,12.89,0.32,23,550,4,2019-10-01T12:00:00Z,Pers
69,694,gymnasium,21.85,Rektorsvägen,273,5.52,2.88,18,694,36,2019-10-01T12:00:00Z,Rekt
116,760,grundskola,22.78,Ronna,329,8.03,5.12,19,1018,99,2019-10-01T12:00:00Z,Ronn
203,535,grundskola,27.95,Rosenborg,269,21.1,0.26,18,1498,7,2019-10-01T12:00:00Z,Rose
87,619,grundskola,32.89,Soldala,387,7.39,3.23,19,619,38,2019-10-01T12:00:00Z,Sold
184,364,grundskola,20.9,Stålhamra,175,21.97,2.63,23,364,22,2019-10-01T12:00:00Z,Stål
31,429,grundskola,26.62,Tavesta,217,3.8,4.29,19,429,35,2019-10-01T12:00:00Z,Tave
70,320,grundskola,13.15,Valla,80,11.51,13.63,19,386,100,2019-10-01T12:00:00Z,Vall
152,650,grundskola,32.38,Wasa,400,12.31,8.91,19,650,110,2019-10-01T12:00:00Z,Wasa
84,501,gymnasium,23.77,Västergård,226,8.83,6.31,19,1551,186,2019-10-01T12:00:00Z,Väst
105,237,grundskola,25.59,Viksberg,115,23.37,7.57,19,237,34,2019-10-01T12:00:00Z,Viks
,210,övrigt ,NULL,Stadshuset,,NULL,57.56,23,210,278,2019-10-01T12:00:00Z,Stad
,685,grundskola,21.96,Blombacka,301,NULL,4.44,20,1148,102,2019-11-01T12:00:00Z,Blom
179,380,grundskola,34.26,Braxen,260,23.58,19.5,20,380,148,2019-11-01T12:00:00Z,Brax
160,873,grundskola,24.62,Brunnsäng,430,9.16,7.96,20,873,139,2019-11-01T12:00:00Z,Brun
62,565,grundskola,16.84,Ene,200,5.22,4.04,21,565,48,2019-11-01T12:00:00Z,Ene
