servering..i.kg.,antal.ätande.på.plats,kategori,tallrikssvinn.gäst.dag,enhet,tallrik..i.kg.,serveringssvinn.gäst.dag,kökssvinn.gäst.dag,dagar,antal.port.inkl..utskick,kök..i.kg.,date,code,Namn,Typ,Beskrivning,Adress,Webbsida,lon,lat
140,581,grundskola,22.28,Ene,220,14.18,13.88,17,581,137,2019-04-01T12:00:00Z,Ene,Eneskolan,Kommunal,F-9,Mölnbovägen 25 <BR> 153 32 Järna<BR>,https://www.sodertalje.se/eneskolan,17.55750283469028,59.08379372434768
88,338,grundskola,17.18,Fornbacka,87,17.37,14.41,15,338,73,2019-04-01T12:00:00Z,Forn,Fornbackaskolan,Kommunal,"F-6, Sär",Fornhöjdsvägen 4 <BR> 152 58 Södertälje<BR>,https://www.sodertalje.se/Fornbackaskolan,17.6645602041309,59.19295953577887
32,564,grundskola,40.58,Hovsjö,229,5.67,4.96,10,564,28,2019-04-01T12:00:00Z,Hovs,Hovsjöskolan,Kommunal,F-9,Penselvägen 1 <BR> 151 65 Södertälje,https://www.sodertalje.se/Hovsjoskolan,17.598898753777032,59.17571289589243
29,477,grundskola,6.7,Hölö,48,4.05,7.4,15,477,53,2019-04-01T12:00:00Z,Hölö,Hölöskolan,Kommunal,F-9,Eriksbergsvägen 9 <BR> 153 71 Hölö<BR>,https://www.sodertalje.se/Holoskolan,17.54494648967159,59.023013557675405
221,697,grundskola,33.28,Igelstaviken,441,16.68,5.06,19,697,67,2019-04-01T12:00:00Z,Igel,Igelsta grundskola,Kommunal,F-9,Korpuddsvägen 9-11 <BR>152 57 Södertälje <BR>,https://www.sodertalje.se/Igelstagrundskola,17.660093767283833,59.18326977968149
35,391,grundskola,24.81,Lina,155,5.6,20.01,16,391,125,2019-04-01T12:00:00Z,Lina,Lina grundskola,Kommunal,F-9,Vatt Annas väg 5-7 <BR> 151 55 Södertälje<BR>,https://www.sodertalje.se/Linagrundskola,17.588236735281328,59.2107546239738
,222,grundskola,18.56,Majtorp,66,Null,21.94,16,222,78,2019-04-01T12:00:00Z,Majt,Rosenborgsenheten (Majtorpskolan),Kommunal,F-3,Klätterstigen 4 <BR> 152 70 Södertälje<BR>,https://www.sodertalje.se/Rosenborgsenheten,17.651494782318082,59.193271925020795
14,325,gymnasium,5.39,Moraberg,28,2.7,2.7,16,325,14,2019-04-01T12:00:00Z,Mora,Mora Park Hölö,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Kristoffergården <BR>153 92 Hölö,http://www.morapark.se/sarskola-forskola,17.598694418220525,59.00505296735322
14,325,gymnasium,5.39,Moraberg,28,2.7,2.7,16,325,14,2019-04-01T12:00:00Z,Mora,Mora Park Järna,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Mora 8 <BR>153 95 Järna,http://www.morapark.se/sarskola-forskola,17.546649554275444,59.08395671580015
80,145,grundskola,89.13,Mölnbo,220,32.41,38.2,17,231,150,2019-04-01T12:00:00Z,Möln,Mölnboskolan,Kommunal,F-6,Skolvägen 13 <BR> 153 60 Mölnbo<BR>,https://www.sodertalje.se/Molnboskolan,17.4240737784609,59.0526617272965
